beta,gamma,t,S,I,R,dS_dt,dI_dt,dR_dt
0.8404773106341289,0.23600490057008644,28.453847321601884,0.02900388206424024,0.02026598586238496,0.9507301320733749,-0.000354314035877934,-0.0043061114093191615,0.0046604254451970695
0.8404773106341289,0.23600490057008644,29.343030050401943,0.029000000000000005,0.016852469565727394,0.9541475304342726,-0.0003477535192096294,-0.00279775524563753,0.0031455087648470936
0.8404773106341289,0.23600490057008644,30.232212779202,0.028385449217918957,0.015290554574723645,0.9563239962073574,-0.0006747769390546901,-0.0022911126081156955,0.002965889547170364
0.8404773106341289,0.23600490057008644,31.12139550800206,0.027800000000000002,0.012778034043982329,0.9594219659560176,-0.0005623771496795198,-0.0032297299579109083,0.003792107107590481
0.8404773106341289,0.23600490057008644,32.01057823680212,0.027385337120785287,0.009546914380198607,0.9630677484990162,-0.0004103004481348562,-0.002338864248054907,0.0027491646961896876
0.8404773106341289,0.23600490057008644,32.89976096560218,0.027070335855799127,0.008618678655225611,0.9643109854889751,-0.0003291433255654848,-0.0016119462607616713,0.001941089586326994
0.8404773106341289,0.23600490057008644,33.788943694402235,0.0268,0.00668028483055238,0.9665197151694475,-0.00015201366774405395,-0.0016897164017646129,0.001841730069508829
0.8404773106341289,0.23600490057008644,34.67812642320229,0.0268,0.005613745373187062,0.967586254626813,-0.00011246282317578168,-0.0009760986273097383,0.0010885614504856367
0.8404773106341289,0.23600490057008644,35.56730915200235,0.026600000000000002,0.0049444247485338514,0.9684555752514662,-0.0002249256463515599,-0.0007889333073926343,0.0010138589537441733
0.8404773106341289,0.23600490057008644,36.45649188080242,0.0264,0.004210733630969779,0.9693892663690301,-0.00011246282317578515,-0.0009272762203117234,0.0010397390434875309
0.8404773106341289,0.23600490057008644,37.345674609602476,0.0264,0.003295388748677482,0.9703046112513226,-6.796449693688596e-05,-0.0006554133775371568,0.0007233778744740738
0.8404773106341289,0.23600490057008644,38.234857338402534,0.026279134286304275,0.003045169119908675,0.970675696593787,-0.00011246282317578168,-0.00041873564882941787,0.0005311984720051122
0.8404773106341289,0.23600490057008644,39.12404006720259,0.0262,0.002550723734933473,0.9712492762650665,-4.449832623889573e-05,-0.0007738646986218137,0.0008183630248607132
0.8404773106341289,0.23600490057008644,40.01322279600265,0.0262,0.0016689548710235168,0.9721310451289765,0.0,-0.0006432439619966108,0.0006432439619965535
0.8404773106341289,0.23600490057008644,40.90240552480271,0.0262,0.0014068008921088579,0.972393199107891,0.0,-0.0002948257657550685,0.00029482576575512454
0.8404773106341289,0.23600490057008644,41.79158825360277,0.0262,0.0011446469131941995,0.9726553530868058,0.0,-0.0004992413982751816,0.0004992413982752852
0.8404773106341289,0.23600490057008644,42.68077098240283,0.0262,0.0005189672344122923,0.9732810327655876,0.0,-0.0006436511169863178,0.0006436511169862769
0.8404773106341289,0.23600490057008644,43.569953711202885,0.0262,0.0,0.9738,0.0,-0.0005836452031773407,0.0005836452031774164
0.15682884655830956,0.027140124165814954,0.0,0.9949999999999999,0.005,0.0,-0.0009711070139645045,0.0009560266922543055,1.508032171021177e-05
0.15682884655830956,0.027140124165814954,3.06577130966696,0.9920228079779712,0.007930959204389054,4.623281763971503e-05,-0.0013325944816293123,0.0012021216056066623,0.0001304728760226583
0.15682884655830956,0.027140124165814954,6.13154261933392,0.9868291401416005,0.012370859858399372,0.0008,-0.0027206654441860045,0.0024346416339901303,0.00028602381019587534
0.15682884655830956,0.027140124165814954,9.19731392900088,0.9753409318539956,0.02285906814600431,0.0018000000000000002,-0.0038546273706832335,0.0035284451806265964,0.00032618219005664566
0.15682884655830956,0.027140124165814954,12.26308523866784,0.9631943281366052,0.03400567186339472,0.0027999999999999995,-0.004637326651219187,0.00405019870911722,0.0005871279421019622
0.15682884655830956,0.027140124165814954,15.3288565483348,0.9469069658522722,0.04769303414772778,0.0054,-0.0067319525962833415,0.005557696712079493,0.0011742558842039248
0.15682884655830956,0.027140124165814954,18.39462785800176,0.921917073881158,0.0680829261188421,0.009999999999999998,-0.010250730592949037,0.008652437861671448,0.001598292731277564
0.15682884655830956,0.027140124165814954,21.46039916766872,0.8840541743422954,0.10074582565770471,0.0152,-0.013481474981302422,0.011263436088917243,0.0022180388923851912
0.15682884655830956,0.027140124165814954,24.52617047733568,0.8392548354618181,0.13714516453818196,0.023600000000000003,-0.01840855548708556,0.014832638025325785,0.0035759174617597343
0.15682884655830956,0.027140124165814954,27.59194178700264,0.7711813318128571,0.1916927778671427,0.03712589032000019,-0.023299598030205662,0.017782943112863905,0.005516654917341743
0.15682884655830956,0.027140124165814954,30.6577130966696,0.6963923571262635,0.24618203813189762,0.05742560474183894,-0.026085334056084652,0.019330007952124834,0.006755326103959831
0.15682884655830956,0.027140124165814954,33.72348440633656,0.6112379943084114,0.3102155454576597,0.07854646023392886,-0.029211744875321397,0.021752000669881644,0.007459744205439742
0.15682884655830956,0.027140124165814954,36.78925571600352,0.5172792984381213,0.37955535729505685,0.10316534426682196,-0.02998892317001038,0.020574069248213395,0.009414853921796983
0.15682884655830956,0.027140124165814954,39.85502702567048,0.42735963378356223,0.43636632790620755,0.1362740383102302,-0.02937497016054806,0.01759884715277324,0.011776123007774811
0.15682884655830956,0.027140124165814954,42.92079833533744,0.33716541695705865,0.48746343866342945,0.17537114437951196,-0.02652721172367308,0.013428721575401079,0.013098490148272
0.15682884655830956,0.027140124165814954,45.9865696450044,0.26470690452776635,0.5187051065689481,0.21658798890328543,-0.02079046869541526,0.007620682944237678,0.013169785751177568
0.15682884655830956,0.027140124165814954,49.05234095467136,0.20968777207519226,0.5341899809244539,0.2561222470003538,-0.017190806481252607,0.0033532012402784084,0.013837605240974243
0.15682884655830956,0.027140124165814954,52.118112264338315,0.15930074192724433,0.5392654028849184,0.30143385518783733,-0.01424897695976026,-0.0006835103289524885,0.014932487288712763
0.15682884655830956,0.027140124165814954,55.18388357400528,0.12231956256451519,0.5299990082117267,0.3476814292237581,-0.01106398485489777,-0.003059555888390464,0.014123540743288227
0.15682884655830956,0.027140124165814954,58.249654883672235,0.09146144724977363,0.5205056055590183,0.3880329471912082,-0.00868108528927631,-0.00490391302357919,0.013584998312855485
0.15682884655830956,0.027140124165814954,61.3154261933392,0.06909111813124477,0.49993045650614426,0.4309784253626109,-0.005946537358283004,-0.007705429884854106,0.013651967243137109
0.15682884655830956,0.027140124165814954,64.38119750300616,0.05500000000000001,0.473259433819746,0.471740566180254,-0.004058182276047521,-0.008737445850222347,0.012795628126269845
0.15682884655830956,0.027140124165814954,67.44696881267312,0.04420820054863386,0.44635643489138366,0.5094353645599824,-0.0033270583385777916,-0.008666818864771123,0.011993877203348893
0.15682884655830956,0.027140124165814954,70.51274012234008,0.0346,0.4201184645763547,0.5452815354236452,-0.002550280798288826,-0.009503151016484954,0.01205343181477378
0.15682884655830956,0.027140124165814954,73.57851143200703,0.028571045142657004,0.3880874594158398,0.5833414954415032,-0.0018266202643172167,-0.009382847305131378,0.011209467569448586
